stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2336,,Riverside/Elfred,The stop is located on a sign post at the corner before Elfred St near Downton Denistry  Johnson City,42.10056,-75.958904,,,,,,
2338,,Riverside/Ethel,The stop is located on a sign post at the corner before Ethel St at a private residence  Johnson City,42.102239,-75.961305,,,,,,
2340,,Riverside/Brewster,The stop is located on a telephone pole at the corner before Brewster St near Apple Foods Johnson City,42.103299,-75.962653,,,,,,
2342,,Riverside/Banks,The stop is located on a sign post across from Banks St at a private residence Johnson City,42.104993,-75.964603,,,,,,
2344,,UHS Vestal Inbound,The flag stop is located by the UHS Primary Care Walk in 4417 Vestal Pkwy.,42.096363,-75.967042,,,,,,
2344.1,,UHS Vestal Outbound,The flag stop is located by the UHS Primary Care Walk in 4417 Vestal Pkwy,42.096294,-75.967182,,,,,,
2801,,Robinson/Century,The stop is located on a street lamp pole about 100 feet after Century Dr Binghamton,42.107761,-75.866409,,,,,,
2801.1,,Children's Home GBHC - 28,,42.103911,-75.866554,,,,,,
2802,,BC Junction 28 Robinson St,The stop is located at the Greater Binghamton Transportation Center BC Junction Bay 1 Dock A,42.100982,-75.91097,,,,bcj,,
2803,,Robinson/GBHC,The stop is located at the exit of the GBHC Binghamton  A bus shelter is here,42.10918,-75.868538,,,,,,
2803.1,,Century/Court,,42.104089,-75.871814,,,,,,
2804,,Chenango/Eldredge,The stop is located on a sign post about 100 feet after Eldredge St near Kendrick Tattoo Binghamton,42.105488,-75.906281,,,,,,
2805,,Robinson/Garden,The stop is located on sign post after and across from Garden St at a private residence Binghamton,42.109016,-75.870667,,,,,,
2805.1,,Court/Fairview,,42.104569,-75.876332,,,,,,
2806,,Chenango/Robinson,The stop is located on a sign post about 50 feet before Robinson St across from Labor Ready Binghamton,42.107059,-75.904442,,,,,,
2807,,Robinson/English,The stop is located on a sign post across from English St at a private residence Binghamton,42.108871,-75.872322,,,,,,
2807.1,,Court/Bigelow,,42.104541,-75.880491,,,,,,
2808,,Robinson/Emmett,The stop is located on a sign post at the corner before Emmett St at a private residence Binghamton,42.106998,-75.901794,,,,,,
2809,,Robinson/Rubin,The stop is located on a sign post after the crosswalk with Rubin Ave near the Fairview Park Ball Field Binghamton.,42.108715,-75.874428,,,,,,
2809.1,,Court/Ely,,42.104271,-75.889154,,,,,,
2810,,Robinson/Wales,The stop is located on a telephone pole at the corner before Wales Ave near the Rte 363 overpass Binghamton,42.10685,-75.899689,,,,,,
2811,,Robinson/Fairview,The stop is located before Faiview Ave near the Fairview Park Parking Lot Binghamton.  A bus shelter is here.,42.108601,-75.876282,,,,,,
2811.1,,Griswold/Silver,,42.105131,-75.892181,,,,,,
2812,,Robinson/Whitney,The stop is located about 50 feet before Whitney Ave before Gallagher's Pub Binghamton,42.107029,-75.89653,,,,,,
